ValgstedId,Boligtype_Antal_boliger_01. Stuehuse og parcelhuse,Boligtype_Antal_boliger_02. Række- og kædehuse,Boligtype_Antal_boliger_03. Flerfamiliehuse,Boligtype_Antal_boliger_04. Kollegier,Boligtype_Antal_boliger_05. Sommerhuse,Boligtype_Antal_boliger_06. Øvrige boliger
580015,1632,585,368,0,0,19
580016,1559,453,3059,86,0,47
580017,884,313,779,70,0,2
580018,477,553,499,0,0,1
607001,2637,954,3540,0,39,37
607002,558,47,12,0,0,1
607003,2837,1032,212,0,0,50
607004,313,24,4,0,0,3
607005,1867,367,66,0,2,3
607006,1671,781,2940,0,0,13
607007,705,76,3,0,12,4
607008,22,315,3605,0,0,26
615001,589,175,2998,19,0,6
615002,850,276,2356,52,0,120
615003,920,104,4717,282,9,60
615004,0,0,0,0,0,0
615005,1186,84,1720,65,1,54
615006,3274,440,265,0,0,107
615007,2111,129,121,0,0,7
615008,1123,165,16,0,0,14
615009,1039,183,71,0,0,23
615010,1000,262,104,0,0,24
615011,2281,212,206,0,0,2
